entry,subject
"Lettre de m. van Marum à m. Jean Ingenhousz, médecin du corps de l'empereur, etc contenant la description d'une machine électrique, construite d'une manière nouvelle & simple",Electric machines
"Lettre de m. van Marum à m. Jean Ingenhousz, médecin du corps de l'empereur, etc contenant la description d'une machine électrique, construite d'une manière nouvelle & simple",Electric apparatus and appliances
Verhandeling over het electrizeeren,Experiments
Verhandeling over het electrizeeren,Electric machines
Verhandeling over het electrizeeren,Electricity
"Beschreibung gemeinnütziger Maschinen 1.Eines Holzsparofens in Gestalt einer Vase oder Theemaschine. 2.Einer Wäsch- und Färber Hand Rolle. 3.Verschiedener Handluftpumpen. Kleiner aerostatischer Kugeln. Elektrischer Feuerzeuge oder Lampen. 4.Blizableiter in Beziehung auf Erdbeben, elektrischer Löschbade und Schiessgewehr. 5.Eines Isolir- Geburths- und Grossvater Stuhls",Electrostatic apparatus and appliances
"Beschreibung gemeinnütziger Maschinen 1.Eines Holzsparofens in Gestalt einer Vase oder Theemaschine. 2.Einer Wäsch- und Färber Hand Rolle. 3.Verschiedener Handluftpumpen. Kleiner aerostatischer Kugeln. Elektrischer Feuerzeuge oder Lampen. 4.Blizableiter in Beziehung auf Erdbeben, elektrischer Löschbade und Schiessgewehr. 5.Eines Isolir- Geburths- und Grossvater Stuhls",Electric machines
Erste Sammlung gemeinnütziger Maschinen Beschreibung einer Elektrisir-Maschine und deren Gebrauch,Electric machines
Erste Sammlung gemeinnütziger Maschinen Beschreibung einer Elektrisir-Maschine und deren Gebrauch,Electric apparatus and appliances
Beschreibung einer ungemein grossen Elektrisier-Maschine und der damit im Teylerschen Museum zu Haarlem angestelten Versuche,Electrostatics
Beschreibung einer ungemein grossen Elektrisier-Maschine und der damit im Teylerschen Museum zu Haarlem angestelten Versuche,Electric machines
Beschreibung einer ungemein grossen Elektrisier-Maschine und der damit im Teylerschen Museum zu Haarlem angestelten Versuche,Electricity
"Beschryving eener ongemeen groote electrizeer-machine, geplaatst in Teyler's museum ta Haarlem en van de proefneemingen met dezelve in 't werk gesteld",Electric machines
"Beschryving eener ongemeen groote electrizeer-machine, geplaatst in Teyler's museum ta Haarlem en van de proefneemingen met dezelve in 't werk gesteld",Electricity
"On the electric column, and aerial electroscope",Electricity
"On the electric column, and aerial electroscope",Ownership
"On the electric column, and aerial electroscope",Experiments
"On the electric column, and aerial electroscope",Early works to 1850
"On the electric column, and aerial electroscope",Electric machines
On the electric column Part III,Early works to 1850
On the electric column Part III,Experiments
On the electric column Part III,Electric machines
On the electric column Part III,Electricity
L' homme plus que machine,Materialism
L' homme plus que machine,Mind and body
L' homme plus que machine,Human beings
02 Mikun ḥalivah be-Yiśraʼel,Dairying
02 Mikun ḥalivah be-Yiśraʼel,Milking machines
Experimental voting system supplement,Voting-machines
"Describe, analyze, and compare the currently available methods of vote counting equipment and to make appropriate recommendation : final report",Voting-machines
"Josef Madersperger, Erfinder der Nähmaschine : ein Lebensbild",Sewing machines
"Josef Madersperger, Erfinder der Nähmaschine : ein Lebensbild",History
T.A. informations,Electronic Data Processing
T.A. informations,Applied linguistics
T.A. informations,Linguistics
T.A. informations,Machine translating
T.A. informations,Translating
National level bibliographic record--books,Machine-readable bibliographic data
National level bibliographic record--books,Standards
National level bibliographic record--books,Cataloging
National level bibliographic record--books,Data processing
